protocol,removed_model,accuracy,precision,recall,f1,roc_auc,pr_auc
cross_day,DecisionTree,0.853,0.7954,0.5962,0.6633,0.7598,0.693
cross_day,LightGBM,0.8572,0.813,0.5965,0.6658,0.82,0.744
cross_day,None,0.8578,0.8109,0.6101,0.6728,0.7649,0.6941
cross_day,RandomForest,0.8354,0.6836,0.5848,0.6211,0.8604,0.689
cross_day,XGBoost,0.8605,0.8371,0.5952,0.6675,0.7682,0.7336
same_day,DecisionTree,0.9997,0.9996,0.9624,0.9784,0.9999,0.9835
same_day,LightGBM,0.9997,0.9997,0.9637,0.9791,0.9999,0.9837
same_day,None,0.9997,0.9997,0.9637,0.9791,0.9999,0.9837
same_day,RandomForest,0.9997,0.9996,0.9637,0.9791,0.9999,0.9834
same_day,XGBoost,0.9997,0.8568,0.8557,0.8562,0.9995,0.9803
